age,genre,genre_autre,niveau_etude,ville,ville_autre,quartier,logement,climatisation,vagues_intenses,conseq_sante,menace_env,vulnerable,logement_protection,crainte_futur,parcs_efficace,eau_publique,arbres_inutile,trouver_endroits_frais,difficile_comportements,acces_parcs,transport_chaud,valoriser_espaces_verts,soutenir_politiques,prefere_interieur,contre_reduction_voiture,espaces_agreables,proteger_acces_eau,municipalite_responsable,intention_frequent_parcs,intention_soutenir_initiatives,pas_intention_s_informer,intention_comportements_eco,pas_intention_transport_actif,motivation_si_municipalite,freq_parcs,freq_parcs_na,activite_verdissement,activite_verdissement_na,petition_contact,petition_contact_na,reduire_eau,reduire_eau_na,transport_alternatif,transport_alternatif_na,compost,compost_na,refroidissement_passif,refroidissement_passif_na,commentaires,id,score_risque_chaleur,score_efficacite,score_attitude_env,score_intention_env,score_comportements
18-24,femme,,universitaire,autre,Québec,urbain_dense,app_petit,non,5,5,4,2,3.0,4.0,5,5.0,5,4,3,5,3,5,5,3,5,5,5,3,5,5,5.0,5.0,5,5,5.0,,2,,3,,5.0,,5,,5,,5,,,f342461f-354e-4b97-b2ee-03395a85c03b,3.8333333333333335,4.285714285714286,4.428571428571429,5.0,4.285714285714286
18-24,homme,,universitaire,autre,Notre-Dame du Mont-Carmel,banlieue,maison_uni,oui,4,3,4,1,2.0,2.0,2,2.0,5,4,2,4,3,4,4,1,2,5,4,5,2,3,2.0,3.0,1,5,1.0,,1,,1,,2.0,,1,,3,,2,,,84271923-1e8d-46d1-94f3-d889d40e6cc1,2.6666666666666665,3.142857142857143,3.5714285714285716,2.6666666666666665,1.5714285714285714
18-24,homme,,universitaire,Trois-Rivières,,urbain_dense,app_grand,non,5,4,3,5,5.0,1.0,3,3.0,5,4,2,2,1,5,5,3,5,5,5,4,3,4,3.0,4.0,2,5,3.0,,1,,1,,3.0,,1,,1,,5,,,df55e452-4b9f-4872-b3d8-937dcbe7a370,3.8333333333333335,2.857142857142857,4.571428571428571,3.5,2.142857142857143
25-34,femme,,universitaire,Trois-Rivières,,centre_dense,app_petit,non,4,3,1,4,5.0,4.0,4,,5,2,2,3,1,5,5,3,5,5,5,4,4,5,2.0,4.0,2,4,4.0,,1,,1,,3.0,,2,,2,,4,,,789631f6-239a-4181-a3ba-5bf502fbe698,3.5,2.8333333333333335,4.571428571428571,3.5,2.4285714285714284
35-49,homme,,universitaire,autre,Québec,res_moderate,app_petit,oui,4,4,2,3,1.0,4.0,1,4.0,5,5,4,4,3,5,5,1,5,5,5,3,3,5,3.0,,4,3,2.0,,1,,1,,1.0,,1,,5,,1,,,dd82740e-6537-44ce-a81d-2f39ea3fd423,3.0,3.7142857142857144,4.142857142857143,3.6,1.7142857142857142
25-34,femme,,universitaire,Trois-Rivières,,res_moderate,app_grand,non,5,3,2,5,3.0,4.0,4,3.0,5,4,3,4,3,5,5,2,4,5,5,4,4,4,4.0,4.0,2,4,4.0,,1,,1,,4.0,,1,,1,,1,,,8e29cdf9-93ab-419a-9a3b-a76fb7faceaf,3.6666666666666665,3.7142857142857144,4.285714285714286,3.6666666666666665,1.8571428571428572
25-34,femme,,universitaire,Montréal,,urbain_dense,app_petit,non,5,4,5,4,5.0,5.0,3,4.0,5,4,2,4,4,5,5,2,4,5,5,5,4,5,5.0,4.0,4,4,3.0,,3,,2,,3.0,,5,,5,,3,,,de070920-7585-4090-be8c-ebdcfa79c836,4.666666666666667,3.7142857142857144,4.428571428571429,4.333333333333333,3.4285714285714284
25-34,homme,,secondaire,Montréal,,urbain_dense,app_petit,non,5,5,4,5,3.0,4.0,3,3.0,5,4,3,4,4,5,5,1,5,5,5,4,5,4,3.0,5.0,5,4,4.0,,1,,1,,3.0,,5,,2,,5,,,d067969b-0fb3-4cfa-80d8-144ad9b726a0,4.333333333333333,3.7142857142857144,4.285714285714286,4.333333333333333,3.0
25-34,homme,,secondaire,Trois-Rivières,,centre_dense,app_petit,oui,5,4,2,4,2.0,3.0,5,5.0,5,4,3,5,2,5,5,3,4,5,4,5,5,5,4.0,4.0,3,4,5.0,,3,,4,,4.0,,4,,4,,3,,,d4ca6a53-db4d-44d1-a72c-ca338b5577a0,3.3333333333333335,4.142857142857143,4.428571428571429,4.166666666666667,3.857142857142857
18-24,femme,,universitaire,autre,Drummondville ,res_moderate,maison_uni,oui,5,3,3,5,1.0,3.0,5,5.0,5,5,3,5,4,5,5,3,2,5,5,3,2,5,5.0,5.0,5,3,5.0,,1,,3,,5.0,,1,,5,,1,,,2f7149ec-29f2-4fba-8b68-08cc1bc0a6fd,3.3333333333333335,4.571428571428571,4.0,4.166666666666667,3.0
,homme,,universitaire,Montréal,,res_moderate,maison_rangee,oui,5,4,4,3,2.0,4.0,5,4.0,5,4,3,5,4,5,4,3,5,5,5,2,4,4,4.0,5.0,4,4,4.0,,3,,3,,4.0,,4,,5,,4,,,7215317b-e93e-49c1-b1d1-84b193fcf599,3.6666666666666665,4.285714285714286,4.142857142857143,4.166666666666667,3.857142857142857
